Name,Quantity,Total Price,LCSC Number,Link
MAXIM DS3231MZ+TRL,1,"$3,25",C107410,https://www.lcsc.com/product-detail/C107410.html?s_z=n_q_%2509DS3231MZ%2520TRL&spm=wm.fly.bg.0.xh&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlNbVlJST1ZWVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktfRVhADxALGw%3D%3D
ZHONGKEWEI ATGM336H-7N76,1,"$2,22",C53325902,https://www.lcsc.com/product-detail/C53325902.html?spm=wm.fly.bg.3.xh___wm.fly.tp.16.ml&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlNbV1FVQVVZVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktTQVFADxALGw%3D%3D
ESP32-C3FH4,1,"$2,18",C2858491,https://www.lcsc.com/product-detail/C2858491.html
Vibration Motor,1,"$0,56",C2759984,https://jlcpcb.com/partdetail/LEADER-LCM1027A2445F/C2759984
Push Switch,5,"$0,30",C48677734,https://www.lcsc.com/product-detail/C48677734.html?s_z=n_q_C48677734&globalKeyword=C48677734
Ceramic Active Antenna,1,"$0,73",C784398,https://www.lcsc.com/product-detail/C784398.html?spm=wm.fly.bg.1.xh___wm.mly.mlk.44-4.ml&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlJWXldWR1VbUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQlJdVVFfR1NADxALGw%3D%3D
Coin Cell Holder,1,"$1,27",C964745,https://www.lcsc.com/product-detail/C964745.html?spm=wm.fly.bg.22.xh&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlVcUlFQQ1daUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slTldaUFxSWQkaCgg%3D
MAX17048 ,1,"$2,18",C2682616,https://www.lcsc.com/product-detail/C2682616.html?s_z=n_q_MAX17048%2520&spm=wm.fly.bg.0.xh&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlVcUV1fRFBdVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXQFVfSQwSGg0%3D
ME6211 ,1,"$0,52",C82942,https://www.lcsc.com/product-detail/C82942.html?s_z=n_q_t_ME6211%2520&spm=wm.fly.bg.0.xh___wm.ssy.tc.0.tz&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlVcUFRXQVNdVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXR1FbSQwSGg0%3D
NPN Transistor,1,"$0,02",C52801,https://www.lcsc.com/product-detail/C52801.html?s_z=n_q_t_NPN%2520&spm=wm.fly.bg.0.xh___wm.ssy.tc.0.tz&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlVcX11QRVlYXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXR1JcSQwSGg0%3D
2.9-inch E Ink Display,1,"$4,00",,https://www.alibaba.com/product-detail/2-9inch-2-9-E-Ink_1601697951336.html?spm=a2700.prosearch.normal_offer.d_image.9c8b67afqOuytl&priceId=49c006035e0144c79a48de9a947f73a3
803040 1000 mAh LiPo,1,"$4,00",,https://aliexpress.ru/item/1005008542711399.html?sku_id=12000045637966057&spm=a2g2w.productlist.search_results.3.6ba468d8obWjYu
Type-C 8 Pin,1,"$0,04",C47326496,https://www.lcsc.com/product-detail/C47326496.html?spm=wm.fly.bg.0.stp___wm.fly.tp.2.ml&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlVWVVRWQlhdVTtW
2.5mm JST Connector,1,"$0,04",C158012,https://www.lcsc.com/product-detail/C158012.html?s_z=n_q_t_2.5%2520mm%25202%2520pin&spm=wm.fly.bg.0.xh___wm.ssy.tc.0.tz&lcsc_vid=TgNaBAFeT1cMUwBTRFZaBVNRT1RaU1xfRgINAlRWFAMxVlNeT1ldVFBTRlleUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaFA%3D%3D
SI1308EDL,1,"$0,10",C7603347,https://www.lcsc.com/product-detail/C7603347.html?s_z=n_q_Si1308EDL&spm=wm.fly.bg.1.xh&lcsc_vid=TgNaBAFeT1cMUwBTRFZaBVNRT1RaU1xfRgINAlRWFAMxVlNeT1ldVVFSRVlbXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D
TP4056,1,"$0,20",C16581,https://www.lcsc.com/product-detail/C16581.html?s_z=n_q_TP4056&spm=wm.fly.bg.0.xh&lcsc_vid=TgNaBAFeT1cMUwBTRFZaBVNRT1RaU1xfRgINAlRWFAMxVlNeT1ldVVxWRFJWVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXQ1JYSQwSGg0%3D
FS8205A,1,"$0,05",C2830320,https://www.lcsc.com/product-detail/C2830320.html?s_z=s_p_FS8205A&spm=wm.fly.bg.0.xh&lcsc_vid=TgNaBAFeT1cMUwBTRFZaBVNRT1RaU1xfRgINAlRWFAMxVlNeT1ldVVxeRldfVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXR1FbSQwSGg0%3D
DW01A,1,"$0,50",C351410,https://www.lcsc.com/product-detail/C351410.html?s_z=n_q_DW01A
"BC817-40,215",1,"$0,01",C52801,https://www.lcsc.com/product-detail/C52801.html?s_z=n_q_C52801&globalKeyword=C52801
E Ink connector,1,"$0,11",C2856805,https://www.lcsc.com/product-detail/C2856805.html?s_z=n_q_C2856805&globalKeyword=C2856805
QST QMC5883P,1,"$1,57",C2847467,https://www.lcsc.com/product-detail/C2847467.html
,,,,
,,,,
Capacitors:,,,,
"0,1uF",6,"$0,20",C49678,https://www.lcsc.com/product-detail/C49678.html?s_z=n_q_t_capacitor&spm=wm.fly.bg.28.xh___wm.ssy.tc.0.tz&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlVZV1ZRQVNdUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D
10uF,3,"$0,20",C15850,https://www.lcsc.com/product-detail/C15850.html?s_z=n_q_t_capacitor&spm=wm.fly.bg.0.xh___wm.ssy.tc.0.tz&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlVZV1ZRQVNdUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D
1uF/25V,14,"$0,70",C116352,https://www.lcsc.com/product-detail/C116352.html?s_z=n_q_t_capacitor&spm=wm.fly.bg.2.xh___wm.ssy.tc.0.tz&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlVZV1ZRQVNdUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D
4.7uF/25V,3,"$0,20",C98195,https://www.lcsc.com/product-detail/C98195.html?s_z=n_q_t_capacitor&spm=wm.fly.bg.4.xh___wm.ssy.tc.0.tz&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlVZV1ZRQVNdUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D
15pF,2,"$0,03",C1644,https://www.lcsc.com/product-detail/C1644.html?spm=wm.fly.bg.0.xh___wm.fly.tp.3.ml&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlVWVFBQTldeVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVRbX11eWQkaCgg%3D
10nF,1,"$0,02",C100042,https://www.lcsc.com/product-detail/C100042.html?spm=wm.fly.bg.0.xh___wm.fly.tp.3.ml&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlVWVFBQTldeVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVRbX11eWQkaCgg%3D
,,,,
Diodes:,,,,
THT Red LED Diode 3mm,2,"$0,07",C99772,https://www.lcsc.com/product-detail/C99772.html?spm=wm.fly.bg.1.xh&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlVZVlBXQ1ZZUjsOAxUeFF5JWBYZEEoBGA4JCwFIFA4DSA%3D%3D
MBR0530,3,"$0,02",C5204746,https://www.lcsc.com/product-detail/C5204746.html?s_z=n_q_MBR0530&spm=wm.fly.bg.1.xh&lcsc_vid=RlhfUAUAFlFXUVQFEVYPUFxXEVFeXgEETlUIBQFUQFYxVlNeQlVZVVRSQFVWUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slTlhZUFZIHxUDCw%3D%3D
,,,,
